location,row,col,plot_id,variety,yield
Saskatchewan,1,1,1,Variety_1,261.94066434886827
Saskatchewan,1,2,2,Variety_5,83.17045752093593
Saskatchewan,1,3,3,Variety_1,185.5480248784431
Saskatchewan,1,4,4,Variety_4,144.1617629882546
Saskatchewan,1,5,5,Variety_5,183.22937589678043
Saskatchewan,1,6,6,Variety_4,163.79000759133467
Saskatchewan,1,7,7,Variety_3,174.6000696703407
Saskatchewan,1,8,8,Variety_3,205.49977748025154
Saskatchewan,1,9,9,Variety_2,262.30254930290613
Saskatchewan,1,10,10,Variety_3,246.3815384523297
Saskatchewan,2,1,11,Variety_2,182.95540270254926
Saskatchewan,2,2,12,Variety_4,278.33458784378576
Saskatchewan,2,3,13,Variety_1,245.17912838414463
Saskatchewan,2,4,14,Variety_3,135.4880973150706
Saskatchewan,2,5,15,Variety_5,205.96632100378986
Saskatchewan,2,6,16,Variety_5,158.1083340973641
Saskatchewan,2,7,17,Variety_3,220.89344181974792
Saskatchewan,2,8,18,Variety_1,330.9057407899177
Saskatchewan,2,9,19,Variety_1,195.32171143006047
Saskatchewan,2,10,20,Variety_1,205.99976340111223
Saskatchewan,3,1,21,Variety_5,152.54994948629806
Saskatchewan,3,2,22,Variety_5,171.02521743236102
Saskatchewan,3,3,23,Variety_5,203.14766727635242
Saskatchewan,3,4,24,Variety_2,126.56516756301126
Saskatchewan,3,5,25,Variety_2,288.8284931600097
Saskatchewan,3,6,26,Variety_5,165.5356628671373
Saskatchewan,3,7,27,Variety_2,233.85747751100655
Saskatchewan,3,8,28,Variety_5,151.05502226524254
Saskatchewan,3,9,29,Variety_2,247.54744348654094
Saskatchewan,3,10,30,Variety_4,199.71163767064226
Saskatchewan,4,1,31,Variety_4,187.38304334390412
Saskatchewan,4,2,32,Variety_3,165.26710968263876
Saskatchewan,4,3,33,Variety_4,154.1156776199758
Saskatchewan,4,4,34,Variety_4,230.58969343054375
Saskatchewan,4,5,35,Variety_2,168.2217762249943
Saskatchewan,4,6,36,Variety_3,200.3124285207612
Saskatchewan,4,7,37,Variety_2,181.33946003432473
Saskatchewan,4,8,38,Variety_1,275.5066451693281
Saskatchewan,4,9,39,Variety_4,180.17348814549618
Saskatchewan,4,10,40,Variety_5,287.9960146154031
Saskatchewan,5,1,41,Variety_3,204.01493707767904
Saskatchewan,5,2,42,Variety_5,262.8868929642022
Saskatchewan,5,3,43,Variety_2,189.57327872134465
Saskatchewan,5,4,44,Variety_2,267.4150014180032
Saskatchewan,5,5,45,Variety_3,235.67099798245044
Saskatchewan,5,6,46,Variety_4,222.61300785559587
Saskatchewan,5,7,47,Variety_5,252.65187754702197
Saskatchewan,5,8,48,Variety_4,226.37655455430658
Saskatchewan,5,9,49,Variety_2,224.73885536947867
Saskatchewan,5,10,50,Variety_3,352.03860593493613
Saskatchewan,6,1,51,Variety_2,147.37700441228696
Saskatchewan,6,2,52,Variety_4,150.86733791059558
Saskatchewan,6,3,53,Variety_4,135.72690053250477
Saskatchewan,6,4,54,Variety_5,97.71355711264788
Saskatchewan,6,5,55,Variety_1,242.1711623565359
Saskatchewan,6,6,56,Variety_5,163.37377361780284
Saskatchewan,6,7,57,Variety_4,151.9952325924617
Saskatchewan,6,8,58,Variety_1,258.47527486167644
Saskatchewan,6,9,59,Variety_3,144.94298749050427
Saskatchewan,6,10,60,Variety_1,126.61883530183349
Saskatchewan,7,1,61,Variety_5,280.9304952425612
Saskatchewan,7,2,62,Variety_4,157.98396933157886
Saskatchewan,7,3,63,Variety_2,219.14420706250363
Saskatchewan,7,4,64,Variety_2,189.18358320611284
Saskatchewan,7,5,65,Variety_1,256.39284101726776
Saskatchewan,7,6,66,Variety_4,137.78882906038268
Saskatchewan,7,7,67,Variety_3,315.596976116719
Saskatchewan,7,8,68,Variety_4,215.52487054151968
Saskatchewan,7,9,69,Variety_2,233.57434438444602
Saskatchewan,7,10,70,Variety_2,246.92976132716777
Saskatchewan,8,1,71,Variety_5,301.24965952118737
Saskatchewan,8,2,72,Variety_2,260.2130789127699
Saskatchewan,8,3,73,Variety_5,271.63961519803377
Saskatchewan,8,4,74,Variety_3,180.94099474165364
Saskatchewan,8,5,75,Variety_2,115.8688338619366
Saskatchewan,8,6,76,Variety_2,212.23444910163792
Saskatchewan,8,7,77,Variety_1,197.38127256479413
Saskatchewan,8,8,78,Variety_1,263.4535586823458
Saskatchewan,8,9,79,Variety_4,256.744945442096
Saskatchewan,8,10,80,Variety_3,184.035038472913
Saskatchewan,9,1,81,Variety_4,116.60246743974977
Saskatchewan,9,2,82,Variety_1,240.64509071938417
Saskatchewan,9,3,83,Variety_3,152.94226056715516
Saskatchewan,9,4,84,Variety_3,266.50861461801463
Saskatchewan,9,5,85,Variety_1,142.18211254567456
Saskatchewan,9,6,86,Variety_3,320.39641221271245
Saskatchewan,9,7,87,Variety_3,273.85121883005866
Saskatchewan,9,8,88,Variety_4,65.38212129368011
Saskatchewan,9,9,89,Variety_5,220.64318881787446
Saskatchewan,9,10,90,Variety_3,305.24566159563517
Saskatchewan,10,1,91,Variety_1,280.7040740954839
Saskatchewan,10,2,92,Variety_1,169.0816927370262
Saskatchewan,10,3,93,Variety_4,126.28721936315513
Saskatchewan,10,4,94,Variety_3,249.6065055253141
Saskatchewan,10,5,95,Variety_1,235.491146003897
Saskatchewan,10,6,96,Variety_5,195.84653608605066
Saskatchewan,10,7,97,Variety_5,160.5919118346668
Saskatchewan,10,8,98,Variety_2,174.41476125817488
Saskatchewan,10,9,99,Variety_1,241.51117458411395
Saskatchewan,10,10,100,Variety_1,229.58162358637196
